+-+-+-+-+-+-+-+-+-+-+-+-+-+-+ GRAFO CARGADO +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99        100        101        102        103        104        105        106        107        108        109        110        111        112        113        114        115        116        117        118        119        120        121        122        123        124        125        126        127        128        129        130        131        132        133        134        135        136        137        138        139        140        141        142        143        144        145        146        147        148        149        150        151        152        153        154        155        156        157        158        159        160        161        162        163        164        165        166        167        168        169        170        171        172        173        174        175        176        177        178        179        180        181        182        183        184        185        186        187        188        189        190        191        192        193        194        195        196        197        198        199        200        201        202        203        204        205        206        207        208        209        210        211        212        213        214
1     0         291.606    447.725    310.517    98.473    356.406    132.382    110.675    370.108    312.616    195.489    329.779    249.064    157.175    411.874    377.661    429.773    289.546    358.66    414.374    207.562    244.008    520.732    165.082    73.164    353.934    104.957    258.822    294.146    542.595    292.773    153.395    217.555    178.718    311.193    280.585    109.604    440.242    383.146    251.231    267.529    358.622    325.346    601.851    359.477    314.84    274.089    57.567    403.976    143.339    431.511    406.739    342.812    282.257    427.908    83.487    517.349    312.642    153.075    449.11    321.908    367.681    413.058    307.247    180.405    75.928    410.112    271.978    330.905    385.389    163.817    72.67    113.004    466.58    534.495    278.325    242.86    371.949    235.919    311.416    82.492    511.056    205.828    157.953    34.986    344.158    391.215    328.146    534.06    382.539    384.422    426.62    176.828    186.904    513.207    429.796    32.388    364.803    346.113    123.309    300.847    104.01    168.671    226.241    402.523    174.909    82.759    186.132    342.761    324.746    357.459    307.631    272.729    448.93    443.694    437.44    143.377    281.256    212.462    474.371    171.977    238.38    446.777    177.26    114.237    498.036    289.831    298.263    323.633    337.36    475.749    265.58    332.826    308.183    323.113    203.118    410.651    52.469    76.059    382.196    132.231    467.702    336.728    115.836    334.054    381.534    361.773    444.567    159.962    233.26    397.605    24.166    69.065    121.742    273.441    233.482    456.821    386.395    175.514    486.31    265.241    178.899    239.719    266.811    409.646    301.423    290.765    218.442    258.992    83.361    367.784    479.671    65.734    445.081    220.511    321.014    361.913    453.475    467.518    198.071    321.708    190.245    430.836    515.909    425.06    218.083    216.689    264.464    505.914    222.991    152.948    149.94    571.974    79.398    427.931    492.91    307.278    300.017    304.021    317.511    202.04    364.881    234.719    267.675    417.637    229.924    162.225    263.61    155.003    83.355    166.352    226.738    489.51    139.517    
2     291.606    0         286.503    74.465    193.662    159.088    171.84    199.882    96.881    40.012    302.367    144.941    113.159    213.115    129.314    127.318    139.517    108.374    101.316    154.738    211.026    59.076    351.869    133.004    350.783    93.941    307.938    213.591    30.529    335.0    73.007    167.2    101.134    239.286    102.474    11.402    187.747    171.549    382.66    320.339    156.237    160.649    62.032    364.347    67.956    177.589    290.243    284.605    235.722    288.062    368.266    147.706    78.294    188.661    140.858    211.206    357.514    21.932    138.571    337.037    77.13    89.56    245.122    127.063    138.13    217.35    131.004    29.833    144.014    102.122    135.772    219.237    179.8    439.278    329.055    29.0    242.786    140.698    233.238    52.173    252.002    348.769    226.55    150.443    310.19    64.938    106.832    94.372    312.003    103.121    96.26    262.817    127.098    218.332    323.241    138.235    281.661    269.557    121.277    193.961    31.828    187.883    378.978    65.368    207.858    126.669    213.638    127.581    76.531    181.466    96.628    21.84    36.125    157.429    154.331    323.246    163.417    196.207    468.327    199.324    228.373    106.532    156.869    119.252    211.811    437.824    20.0    109.385    32.311    143.673    256.018    63.632    150.296    98.98    37.577    160.639    292.246    262.992    215.585    150.333    161.236    239.41    86.371    175.966    200.205    89.944    76.276    283.975    300.323    278.28    106.827    315.674    232.422    241.224    32.249    70.0    283.049    192.169    116.108    374.322    84.315    245.693    88.888    113.004    150.572    20.248    256.55    154.029    199.462    214.805    98.494    218.289    234.923    372.404    82.928    233.35    97.494    265.936    205.302    109.371    249.098    204.561    295.665    369.719    134.201    503.438    131.939    121.248    274.869    104.924    242.539    304.026    307.747    218.234    160.465    353.816    65.924    48.332    28.16    81.271    136.33    306.888    67.742    28.0    220.239    203.226    304.133    28.425    418.708    260.25    142.706    74.887    319.916    280.794    
3     447.725    286.503    0         212.257    370.196    127.487    393.387    339.978    344.827    248.485    308.561    145.671    394.057    292.154    342.243    175.573    314.67    191.846    197.091    176.828    477.359    270.78    73.756    363.067    467.377    357.728    518.585    192.627    316.291    109.859    218.124    406.123    367.151    280.589    186.561    286.122    350.464    393.224    215.205    273.929    184.743    125.873    227.693    190.979    277.189    136.945    222.146    404.282    51.624    341.303    142.688    391.429    344.885    165.496    249.898    374.171    74.0    276.697    344.224    76.538    209.745    334.013    41.773    168.858    282.113    382.687    351.241    312.234    145.986    328.866    367.067    389.853    357.329    217.147    101.514    314.167    220.601    152.315    223.007    234.696    368.702    66.121    249.874    304.573    443.227    322.188    239.435    192.317    121.433    337.606    253.823    24.187    297.069    265.294    71.449    296.299    420.058    100.424    166.012    326.682    315.546    367.935    595.909    305.786    81.123    365.022    372.404    378.477    219.584    467.592    202.921    268.732    320.052    304.795    326.794    68.731    391.618    166.628    519.024    213.359    282.45    383.814    324.105    307.937    333.569    187.409    267.619    395.668    286.356    144.368    94.366    242.539    140.431    190.465    260.538    247.251    61.351    396.94    392.908    145.89    368.289    109.11    203.273    368.912    114.726    284.609    247.73    3.162    537.82    253.243    269.652    465.354    424.537    469.886    315.93    272.734    19.105    94.937    331.151    100.424    225.887    499.016    246.051    205.002    393.207    302.552    178.241    233.077    189.644    410.079    350.755    178.084    383.631    134.733    343.827    132.061    205.973    40.522    178.44    281.642    138.773    258.992    37.336    642.806    274.39    656.294    242.99    202.2    122.004    252.335    485.696    349.245    222.081    373.858    191.031    68.6    220.785    238.504    259.046    205.234    256.971    137.084    334.552    278.977    73.11    476.79    339.065    297.866    494.49    467.934    298.391    337.431    41.785    513.401    
4     310.517    74.465    212.257    0         213.776    84.77    211.533    204.612    151.238    39.623    272.061    71.281    183.325    195.113    168.074    68.797    160.381    45.607    48.166    104.484    274.235    72.918    278.821    174.244    358.622    157.003    348.794    162.049    104.695    267.47    18.028    215.39    161.608    212.078    29.698    73.98    200.943    218.33    320.362    277.849    101.415    86.4    26.926    306.425    90.824    108.853    239.633    289.56    161.307    270.601    297.834    203.298    142.144    129.244    127.883    227.035    283.854    68.25    166.976    263.251    11.662    141.174    170.763    57.009    133.135    234.764    173.727    100.225    70.178    144.9    177.924    239.069    198.91    370.912    260.929    101.922    196.86    72.367    188.958    24.759    253.14    275.182    191.316    153.675    321.622    121.918    91.782    22.204    247.736    150.456    93.022    188.473    133.69    189.552    252.198    150.053    293.298    199.404    49.0    194.7    104.709    209.029    423.959    105.081    134.648    172.07    227.903    180.205    37.656    255.924    47.434    58.822    107.935    168.027    176.377    249.538    205.913    137.419    460.44    164.149    203.806    174.287    176.819    134.952    210.431    366.083    55.362    183.848    81.32    69.318    189.552    45.804    76.551    27.019    56.223    133.664    218.836    271.603    238.008    82.976    192.816    175.111    26.249    202.002    129.402    110.114    71.253    209.688    352.013    236.764    112.04    333.444    262.406    287.562    103.812    80.777    209.461    118.457    146.86    300.177    47.413    303.269    71.4    63.032    205.798    91.788    199.251    121.202    147.513    245.051    155.416    170.602    246.986    300.892    139.169    167.538    52.479    193.373    158.051    112.45    184.459    175.756    221.371    440.569    135.532    528.221    106.626    71.007    212.641    89.588    295.412    285.491    263.213    231.614    117.414    279.38    8.544    26.249    48.021    8.246    118.106    239.885    127.193    69.0    147.763    270.007    282.446    87.207    416.434    298.236    145.086    131.746    246.522    329.985    
5     98.473    193.662    370.196    213.776    0         266.987    57.983    42.544    276.024    214.201    184.621    240.635    167.726    104.389    316.552    281.81    332.533    197.231    261.725    318.152    164.77    145.715    443.952    75.027    158.928    261.63    148.476    194.504    198.275    457.559    196.329    84.906    130.035    138.235    217.187    182.529    21.213    348.31    349.107    231.353    185.54    269.223    227.379    511.519    261.375    233.574    235.091    98.005    322.8    142.636    379.77    316.218    249.369    207.393    329.451    20.025    442.661    214.462    55.973    384.105    224.971    272.694    332.415    216.91    89.694    24.042    315.52    175.57    241.506    289.676    75.24    25.807    14.866    428.21    449.755    182.165    191.901    278.218    182.387    213.357    76.551    435.574    154.331    66.483    117.324    248.556    292.8    232.398    445.88    287.543    285.953    347.554    81.025    134.082    431.342    331.892    89.286    299.015    252.161    53.141    204.919    6.083    225.737    128.351    315.927    86.093    24.331    102.421    244.92    255.212    260.219    209.246    177.116    351.091    346.781    371.264    67.082    208.614    287.028    376.942    126.574    154.829    349.687    79.246    60.803    450.481    191.377    214.336    225.843    247.324    386.846    168.315    244.311    213.902    224.662    123.911    341.844    74.108    24.413    288.73    41.304    377.068    239.835    22.204    255.556    283.593    263.304    367.049    176.082    199.482    299.267    122.332    54.342    110.164    177.406    135.37    376.789    299.125    78.0    423.011    170.0    158.518    144.201    175.775    319.188    204.463    235.595    137.295    190.0    41.012    274.332    383.986    45.011    391.208    127.577    253.071    264.473    370.326    371.602    101.828    258.234    130.269    358.833    457.922    326.712    314.727    128.752    174.957    415.524    129.004    136.059    157.0    476.555    29.275    331.002    422.622    210.021    201.973    205.548    221.07    114.162    310.137    140.464    169.284    331.159    180.854    164.402    165.955    232.948    98.412    73.824    132.774    411.593    150.765    
6     356.406    159.088    127.487    84.77    266.987    0         278.927    245.772    224.644    121.672    267.471    26.627    267.167    214.59    230.228    66.129    210.381    71.568    78.243    91.0    354.001    147.122    195.133    244.984    391.801    234.828    411.754    140.407    189.042    192.442    91.548    287.863    242.25    218.048    60.133    158.66    249.816    282.237    263.108    255.738    94.641    2.236    101.71    245.459    157.699    61.392    208.062    323.557    76.694    282.066    224.804    274.357    221.054    100.568    154.984    275.617    199.462    150.266    230.645    182.003    82.765    213.925    86.035    50.16    177.654    284.042    238.027    184.816    25.554    212.25    248.92    290.028    252.715    300.935    185.068    186.682    178.37    40.262    174.393    107.541    286.094    190.874    189.789    200.883    360.04    199.023    131.126    65.307    178.899    219.911    142.004    103.73    187.385    196.947    171.657    194.551    333.458    130.599    40.608    233.431    188.558    263.463    488.697    182.044    52.154    245.231    275.089    256.632    96.54    340.389    83.738    141.852    192.603    208.166    224.964    168.668    275.394    107.564    473.165    153.73    214.245    257.391    223.618    194.797    245.204    289.214    140.132    268.377    161.037    19.925    119.883    118.017    24.042    64.125    134.97    155.795    139.388    310.319    291.153    43.0    256.164    111.4    78.237    260.716    66.91    169.921    129.557    124.92    423.123    219.92    160.702    377.239    320.039    356.295    188.481    150.96    125.3    35.014    214.22    217.513    104.393    379.223    128.062    91.285    276.487    175.559    160.153    140.186    128.693    303.849    229.957    139.316    290.682    225.304    219.112    113.864    88.408    111.018    130.3    168.573    131.381    185.602    138.438    520.458    174.244    573.206    139.818    92.282    149.513    139.284    368.426    294.478    224.964    277.721    110.0    194.795    93.301    111.018    131.848    77.833    154.548    176.615    208.777    152.069    66.753    351.753    287.892    170.836    436.808    360.49    193.205    212.285    162.496    399.7    
7     132.382    171.84    393.387    211.533    57.983    278.927    0         97.591    240.26    201.206    241.249    254.026    117.209    155.657    283.099    280.059    304.532    207.369    256.909    314.358    108.706    138.654    466.58    38.949    202.356    222.854    137.844    233.654    167.8    471.332    196.064    26.926    85.703    190.801    222.657    161.966    73.539    308.639    397.575    285.661    211.038    281.114    218.552    517.349    238.849    257.194    284.201    150.03    343.456    200.552    420.377    274.722    212.615    238.315    312.57    76.059    467.167    193.752    49.163    416.923    221.472    238.839    353.386    229.513    114.983    75.895    280.494    147.435    254.466    257.391    36.069    71.805    57.315    474.091    463.994    153.003    238.025    281.924    227.844    204.414    133.754    459.492    202.237    96.302    160.153    216.449    277.622    232.648    455.703    253.576    268.002    369.757    97.021    182.833    449.117    307.002    135.181    333.191    256.26    105.119    174.453    53.6    212.426    110.0    330.394    45.804    80.957    53.852    236.305    199.612    254.189    191.107    146.479    325.627    317.473    403.521    11.045    241.267    337.083    367.604    178.44    106.066    320.975    85.475    116.726    492.164    175.548    166.09    202.072    259.031    396.55    166.517    258.492    218.888    207.454    157.709    372.839    125.929    63.953    292.693    27.203    384.253    235.926    38.897    281.028    259.563    247.073    390.314    144.682    251.287    278.289    155.978    64.846    77.369    148.003    131.183    397.417    313.155    65.192    456.324    175.208    110.86    150.864    189.718    277.606    177.429    277.973    167.726    226.367    49.031    237.403    380.564    98.671    430.537    92.358    287.237    257.402    387.743    367.72    111.879    295.163    176.204    387.021    400.621    305.452    333.384    152.082    191.51    422.462    141.421    93.263    214.981    472.683    85.493    324.5    451.004    205.828    193.662    190.536    219.586    139.517    350.561    107.648    153.052    345.393    123.329    222.266    143.544    281.178    88.617    99.639    99.624    433.665    120.83    
8     110.675    199.882    339.978    204.612    42.544    245.772    97.591    0         289.884    212.904    143.684    219.146    196.698    62.298    327.727    269.898    339.081    179.805    252.606    306.863    205.973    144.848    413.494    103.619    154.35    278.259    183.098    157.156    210.611    432.456    186.604    123.988    156.208    95.713    202.237    188.481    24.083    364.157    307.002    189.024    157.496    247.986    222.434    491.196    265.37    205.234    193.003    85.866    294.703    105.551    340.243    334.096    264.683    174.889    327.536    36.014    411.112    218.833    76.4    348.294    216.227    285.111    303.99    196.815    71.701    44.045    327.989    187.417    220.293    300.456    105.19    52.0    40.46    386.681    424.417    194.366    151.01    262.498    141.877    209.124    52.173    404.412    113.031    51.478    117.154    260.25    290.424    220.62    423.43    299.708    285.82    318.176    73.926    92.65    403.923    336.027    89.14    263.097    236.907    13.342    216.947    45.0    259.208    137.463    291.979    114.586    33.136    133.417    239.14    287.96    252.032    211.967    190.672    355.338    354.12    335.829    105.119    174.957    269.141    368.631    84.172    182.85    356.507    80.808    19.209    410.343    193.352    240.054    232.002    226.815    365.075    161.555    222.158    199.449    226.002    93.231    307.313    67.007    57.428    272.567    74.887    357.113    230.801    58.728    225.488    288.113    262.528    336.816    216.391    156.975    301.086    131.655    90.449    151.822    190.055    133.54    348.08    275.772    93.263    386.745    157.892    201.062    133.222    156.732    337.095    213.965    196.023    108.259    154.434    81.043    289.171    371.313    44.944    352.196    147.98    217.681    256.912    343.705    359.436    94.366    221.226    90.355    325.756    492.846    328.16    327.812    106.212    154.013    395.285    115.256    178.466    120.934    463.168    33.956    321.409    388.99    202.467    197.851    206.155    211.021    91.679    270.978    158.114    173.0    307.122    220.839    126.657    174.347    218.826    135.532    60.033    151.331    381.698    191.133    
9     370.108    96.881    344.827    151.238    276.024    224.644    240.26    289.884    0         112.681    399.164    219.495    137.975    309.095    44.045    169.446    76.059    194.651    148.219    178.354    237.542    155.563    400.412    205.056    434.936    23.259    364.818    307.143    79.31    366.526    158.518    226.385    155.235    336.048    180.602    107.201    274.41    75.107    471.301    416.655    247.758    225.499    126.372    374.226    67.676    260.0    384.615    371.841    298.21    383.221    447.162    52.355    27.785    278.469    123.0    295.178    409.207    87.321    220.227    406.399    146.986    10.817    306.315    208.214    233.362    300.048    40.249    102.489    218.014    25.0    206.495    300.282    263.685    521.395    362.36    95.525    338.155    192.774    328.892    127.028    341.844    400.262    323.303    243.132    393.126    32.016    111.018    162.788    337.343    16.125    94.868    323.13    220.036    315.197    365.088    88.233    365.301    349.481    184.114    285.701    73.11    269.967    427.376    152.555    263.775    195.543    298.391    187.417    128.144    149.933    142.411    97.576    99.464    101.518    84.024    393.205    229.889    286.435    558.92    192.042    324.992    142.004    88.6    209.612    303.727    513.517    112.579    97.637    72.014    214.979    289.981    158.433    224.341    178.216    95.131    257.513    363.992    348.937    295.061    198.962    238.12    270.416    147.085    255.644    279.635    64.031    97.098    342.841    342.251    374.606    85.709    394.203    304.91    295.203    99.85    166.09    336.757    251.446    199.06    440.8    177.71    281.043    185.54    204.919    55.009    78.409    348.006    250.577    292.727    288.231    7.0    224.891    319.977    449.013    149.603    318.763    138.957    315.778    213.469    204.245    335.601    301.438    362.05    298.077    100.717    571.822    228.758    213.441    298.719    201.804    286.63    399.282    299.296    303.269    173.22    413.401    144.222    131.126    108.688    154.457    233.118    391.012    135.724    124.459    272.523    220.792    399.981    117.004    507.23    323.11    236.019    143.59    371.214    327.867    
10    312.616    40.012    248.485    39.623    214.201    121.672    201.206    212.904    112.681    0         298.042    110.603    153.082    214.553    133.645    87.573    132.242    81.988    61.66    116.709    249.69    68.797    312.642    162.41    366.824    117.456    338.864    196.087    68.154    295.002    46.098    200.192    138.221    236.104    69.311    44.147    204.793    182.236    358.645    309.079    135.93    123.065    22.023    325.751    58.078    148.165    273.865    298.766    198.298    290.663    337.457    164.985    102.533    165.946    115.378    229.924    318.68    28.844    162.003    302.108    38.91    102.956    207.466    96.333    144.516    236.922    138.221    69.26    109.403    108.784    165.653    240.0    199.612    410.417    289.043    69.007    228.954    100.841    220.293    14.866    263.928    309.885    218.742    161.549    327.739    82.62    78.6    56.365    272.244    113.318    72.918    225.078    139.086    214.009    283.425    125.515    299.095    239.006    82.541    204.846    67.067    208.828    411.812    91.214    168.962    157.842    231.625    161.914    37.363    219.164    57.271    20.248    76.026    144.586    148.165    288.467    193.912    173.971    476.92    166.4    226.497    145.993    149.482    135.624    221.921    405.627    26.401    147.411    41.773    107.912    216.037    54.589    115.802    66.483    18.028    156.115    257.979    278.772    237.542    110.368    186.698    199.565    46.53    199.06    169.012    80.056    49.649    246.051    335.477    267.344    88.888    336.305    258.095    274.055    72.062    79.756    244.246    153.708    140.007    338.615    69.354    282.733    85.159    93.963    167.574    54.083    235.697    146.123    181.554    240.416    116.499    181.662    252.103    340.473    117.924    206.4    58.822    226.586    168.671    118.596    223.081    200.01    259.625    401.08    115.521    528.027    127.252    102.489    235.325    103.942    277.91    306.178    272.641    235.85    124.354    316.318    31.89    19.416    12.166    44.654    135.636    279.122    103.73    48.26    180.942    242.739    304.582    61.685    430.01    289.705    153.114    109.932    280.922    314.941    
