+-+-+-+-+-+-+-+-+-+-+-+-+-+-+ GRAFO CARGADO 0 +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78
1     inf    9.434    18.974    67.231    82.873    29.967    52.326    47.508    40.249    75.392    45.453    39.115    46.957    79.404    78.816    44.777    44.688    6.325    46.669    77.833    76.322    10.0    42.059    31.064    9.899    43.863    33.061    22.825    77.492    38.949    33.541    57.28    51.088    81.744    48.301    90.244    88.837    35.355    9.22    77.492    38.471    77.201    41.231    11.18    32.062    50.478    56.356    23.022    78.746    27.295    74.33    44.654    9.899    52.355    76.158    83.199    15.0    38.601    8.544    89.844    47.202    75.0    58.941    26.833    46.011    28.302    46.4    11.705    59.034    10.77    36.674    42.059    7.28    54.562    77.162    34.132    50.99    30.067    
2     9.434    inf    26.019    72.09    92.114    35.903    61.717    51.108    40.46    84.694    54.489    44.283    47.011    88.544    88.233    45.343    54.037    6.083    55.902    87.092    80.957    3.606    42.521    36.497    2.236    53.038    38.471    28.636    86.729    44.272    39.294    60.0    54.708    90.802    48.415    99.202    98.27    40.804    7.211    86.649    45.222    86.608    50.606    5.831    37.483    51.624    56.4    28.16    87.92    32.985    83.487    45.967    2.236    60.745    81.025    92.179    12.806    42.953    5.831    98.98    56.613    84.119    68.007    32.757    51.478    33.526    55.803    7.211    68.015    6.403    42.45    42.521    6.325    57.983    86.377    39.217    54.378    35.511    
3     18.974    26.019    inf    48.826    68.964    11.402    41.012    30.806    30.0    62.129    42.45    49.659    36.125    64.846    69.426    33.242    38.484    20.0    41.785    64.14    58.009    24.083    31.064    42.059    25.02    39.85    43.829    5.385    63.632    20.616    15.0    41.34    34.205    66.708    37.216    74.673    77.897    17.029    20.224    63.063    45.607    68.118    34.928    23.345    42.942    37.363    44.721    7.071    64.413    9.22    59.942    31.78    25.02    52.469    57.689    67.779    20.125    21.401    21.095    75.153    39.446    60.374    44.294    8.485    55.362    10.817    38.949    22.561    55.362    22.361    18.028    31.064    20.025    37.802    63.135    16.279    34.409    41.183    
4     67.231    72.09    48.826    inf    65.146    37.443    58.052    22.204    40.05    63.151    74.847    95.131    37.855    59.775    80.225    36.346    67.417    66.212    71.512    62.817    9.22    69.08    38.118    88.459    70.385    71.694    89.939    44.418    61.847    28.302    33.838    19.313    19.026    58.873    37.108    61.774    82.0    31.906    65.0    59.203    88.814    80.1    65.391    67.417    89.196    31.048    35.777    44.294    60.44    39.962    57.489    33.136    70.385    86.539    8.944    57.775    61.033    29.155    66.31    66.212    65.146    56.754    49.01    40.497    99.403    38.949    65.46    66.129    82.71    66.483    30.806    38.118    65.795    17.117    60.877    33.121    20.0    87.727    
5     82.873    92.114    68.964    65.146    inf    65.437    31.401    72.422    87.727    8.0    49.497    81.744    90.272    5.385    22.804    87.321    44.011    86.925    45.277    5.099    69.231    91.389    87.115    80.056    91.924    48.166    80.156    69.893    5.385    64.382    64.444    78.772    72.402    7.071    90.427    12.806    18.111    65.069    88.142    6.403    72.691    24.083    46.043    91.285    80.1    86.023    93.744    71.847    5.0    67.801    9.22    83.869    91.924    55.973    67.082    9.487    89.067    69.354    88.64    8.246    40.0    9.22    24.698    67.201    81.025    69.029    41.0    90.802    44.777    90.377    62.936    87.115    87.321    73.926    5.831    67.209    73.783    80.025    
6     29.967    35.903    11.402    37.443    65.437    inf    41.183    20.125    24.698    59.414    48.042    60.033    29.614    60.803    69.642    26.476    42.579    29.833    46.39    60.959    46.615    33.377    25.0    52.697    34.525    45.1    54.378    7.28    60.308    9.22    3.606    30.871    23.324    62.129    30.414    69.354    76.694    5.657    29.275    59.203    55.154    68.6    39.319    32.14    53.535    29.017    37.014    8.0    60.605    3.0    56.223    24.083    34.525    59.034    46.325    62.769    27.074    10.77    30.414    70.725    42.45    56.4    41.037    3.162    65.307    3.606    42.202    31.064    59.841    31.145    6.708    25.0    29.614    26.926    59.666    5.385    23.707    51.865    
7     52.326    61.717    41.012    58.052    31.401    41.183    inf    55.109    65.742    23.537    21.633    52.498    70.007    29.0    28.601    66.851    14.318    56.939    17.205    26.306    65.521    61.4    65.795    49.649    61.774    19.235    50.01    43.417    26.173    43.966    41.629    64.382    56.569    32.062    70.576    41.11    37.014    43.081    58.523    27.0    43.658    27.459    15.297    61.587    49.82    67.72    75.961    45.607    28.018    42.72    24.021    63.906    61.774    31.828    63.891    34.234    60.44    48.703    58.83    39.115    10.296    25.08    12.806    41.881    53.226    44.418    11.18    61.294    25.08    60.745    41.437    65.795    57.454    59.304    26.077    44.777    57.706    49.497    
8     47.508    51.108    30.806    22.204    72.422    20.125    55.109    inf    18.682    68.096    66.37    80.131    18.601    67.201    81.933    16.125    60.033    45.486    64.07    68.797    30.364    47.885    17.088    72.719    49.244    63.285    74.431    25.612    67.956    12.166    17.088    10.77    3.606    67.476    18.439    72.835    86.77    14.866    43.909    66.03    75.24    81.271    57.14    46.065    73.573    13.601    21.471    24.759    67.424    21.633    63.514    12.53    49.244    77.782    30.806    67.268    39.395    9.434    45.277    75.822    59.034    63.246    50.567    22.472    85.428    20.0    59.008    44.721    77.006    45.177    15.297    17.088    44.944    7.071    67.119    14.765    3.606    71.868    
9     40.249    40.46    30.0    40.05    87.727    24.698    65.742    18.682    inf    82.462    71.847    77.885    6.708    82.735    94.021    5.0    66.94    36.056    70.612    83.63    47.17    36.878    2.236    69.921    38.288    69.051    71.84    25.08    82.879    23.345    24.187    22.561    21.213    83.487    8.062    89.644    100.439    23.022    33.601    81.345    74.967    93.059    63.561    34.713    70.88    11.662    16.125    23.022    82.759    23.77    78.568    7.071    38.288    82.298    48.042    83.63    27.659    18.385    35.0    92.022    67.052    78.518    64.203    24.739    84.172    21.84    66.761    33.302    84.172    34.059    25.0    2.236    35.228    23.0    82.134    21.095    20.1    68.964    
10    75.392    84.694    62.129    63.151    8.0    59.414    23.537    68.096    82.462    inf    41.593    73.824    85.446    7.81    18.974    82.42    36.014    79.624    37.336    3.162    68.184    84.095    82.006    72.062    84.581    40.2    72.173    63.411    3.606    59.203    58.728    75.24    68.425    11.402    85.703    19.698    18.974    59.548    80.951    6.403    64.777    19.698    38.053    84.077    72.111    81.633    89.554    65.437    6.403    61.62    6.083    79.057    84.581    48.466    66.121    14.213    82.152    64.203    81.394    16.125    32.0    7.28    18.385    60.959    73.246    62.968    33.0    83.648    37.59    83.187    57.489    82.006    80.056    70.264    4.243    61.62    69.771    72.028    
11    45.453    54.489    42.45    74.847    49.497    48.042    21.633    66.37    71.847    41.593    inf    32.249    77.414    48.508    36.688    74.33    7.81    51.4    4.472    44.721    83.193    55.444    72.56    31.257    55.317    3.162    31.064    46.872    44.911    54.231    50.01    76.792    68.731    51.923    78.313    60.877    48.27    52.038    53.824    46.573    23.195    34.785    9.487    56.4    31.145    77.006    85.053    49.031    47.297    48.26    43.966    72.111    55.317    11.705    81.841    54.406    57.801    58.034    53.6    57.706    11.402    45.222    34.409    47.265    31.953    50.249    10.63    56.613    13.601    55.803    51.157    72.56    52.202    72.007    45.122    53.0    69.584    31.401    
